generation,average_fitness
2,467.35483870967744
3,459.3225806451613
4,446.80645161290323
5,513.2903225806451
6,440.16129032258067
7,477.0
8,471.9032258064516
9,460.38709677419354
10,492.35483870967744
11,481.83870967741933
12,474.96774193548384
13,495.96774193548384
14,449.48387096774195
15,443.80645161290323
16,441.0
17,459.06451612903226
18,474.8709677419355
19,463.7741935483871
20,464.80645161290323
21,447.4193548387097
22,475.19354838709677
23,494.9032258064516
24,467.4516129032258
25,465.61290322580646
26,479.7096774193548
27,471.0967741935484
28,496.06451612903226
29,484.51612903225805
30,453.1290322580645
31,474.741935483871
32,479.8709677419355
33,474.5483870967742
34,477.2903225806452
35,489.0
36,429.16129032258067
37,446.51612903225805
38,470.8709677419355
39,468.2903225806452
40,464.5806451612903
41,466.35483870967744
42,489.96774193548384
43,477.35483870967744
44,454.258064516129
45,448.7096774193548
46,477.2258064516129
47,461.8709677419355
48,448.258064516129
49,445.03225806451616
50,443.51612903225805
51,455.6774193548387
52,489.5483870967742
53,444.38709677419354
54,456.4516129032258
55,459.61290322580646
56,465.9032258064516
57,494.51612903225805
58,480.3225806451613
59,448.38709677419354
60,446.1290322580645
61,479.06451612903226
62,449.16129032258067
63,459.0
64,464.61290322580646
65,490.35483870967744
66,456.51612903225805
67,477.258064516129
68,474.1290322580645
69,466.38709677419354
70,464.5806451612903
71,466.9032258064516
72,487.5483870967742
73,485.16129032258067
74,477.5806451612903
75,498.93548387096774
76,451.0967741935484
77,486.16129032258067
78,460.2903225806452
79,461.2258064516129
80,441.9032258064516
81,436.9032258064516
82,445.93548387096774
83,471.80645161290323
84,465.96774193548384
85,450.258064516129
86,479.4193548387097
87,474.06451612903226
88,456.51612903225805
89,493.5806451612903
90,443.9032258064516
91,468.2258064516129
92,493.9032258064516
93,468.7096774193548
94,474.83870967741933
95,461.38709677419354
96,482.2258064516129
97,453.4193548387097
98,461.7741935483871
99,474.4516129032258
100,463.2903225806452
101,474.51612903225805
